,Author,Repo,Language,Star,Fork
0,WorkerLivesMatter,WorkingTime,,"11,385","1,042"
1,nuxt,framework,TypeScript,"2,627",119
2,goplus,gop,Go,"7,203",465
3,KieSun,all-of-frontend,JavaScript,"3,401",496
4,AveYo,MediaCreationTool.bat,Batchfile,"1,037",232
5,twbs,icons,HTML,"5,487",756
6,trekhleb,javascript-algorithms,JavaScript,"123,369","20,151"
7,Chakazul,Lenia,Python,"2,602",155
8,microsoft,Swin-Transformer,Python,"5,257",666
9,NVlabs,stylegan3,Python,"2,506",190
10,sentsin,layui,JavaScript,"25,037","6,768"
11,electron-userland,electron-builder,TypeScript,"11,469","1,428"
12,3b1b,videos,Python,"1,337",172
13,zhanwen,MathModel,TeX,"3,635","1,362"
14,qiurunze123,miaosha,Java,"22,439","5,771"
15,smartcontractkit,full-blockchain-solidity-course-py,,"2,297",434
16,practical-tutorials,project-based-learning,,"58,156","8,896"
17,LeCoupa,awesome-cheatsheets,JavaScript,"24,997","4,009"
18,thingsboard,thingsboard,Java,"10,152","3,150"
19,ascoders,weekly,JavaScript,"16,137","1,835"
20,microsoft,playwright,JavaScript,"29,666","1,260"
21,ddosify,ddosify,Go,"1,883",51
22,apache,apisix,Lua,"7,045","1,285"
23,CyC2018,CS-Notes,Java,"140,323","44,896"
24,PanJiaChen,vue-element-admin,Vue,"71,800","25,837"
